tiempo,x,y,vx,vy
0.0,0.0,0.0,20.0,30.0
0.01,0.19964057998973778,0.2989709572372285,19.928229149489855,29.794419675670177
0.02,0.39856683164087214,0.5958929275745055,19.857132901483638,29.590199583963606
0.03,0.5967854582966854,0.890779422764938,19.78670274368471,29.387321660765732
0.04,0.7943030788940021,1.1836437754250797,19.71693030658871,29.18576814181618
0.05,0.9911262293759563,1.4744991420018156,19.647807360465155,28.985521556404137
0.060000000000000005,1.187261364074953,1.763358505676996,19.57932581241432,28.78656472122198
0.07,1.3827148570665653,2.0502346792113784,19.51147770349725,28.5888807343725
0.08,1.5774930034950891,2.335140307729391,19.4442552059367,28.392452969525326
0.09,1.7716020208714531,2.6180878714461886,19.377650620387033,28.197265070218222
0.09999999999999999,1.9650480503441632,2.899089688338429,19.31165637327102,28.00330094429907
0.10999999999999999,2.157837157943943,3.178157916760154,19.246265014181642,27.810544758504577
0.11999999999999998,2.3499753358027085,3.455304558005128,19.181469213347025,27.61898093317174
0.12999999999999998,2.5414685033475,3.7305414588169348,19.117261759156737,27.428594137078374
0.13999999999999999,2.7323225084699785,4.003880313848115,19.053635555747643,27.239369282408987
0.15,2.922543128672068,4.27533266806957,18.9905836206477,27.051291519842536
0.16,3.112136072188321,4.54490991913144,18.928099082476,26.864346233758614
0.17,3.301106979085561,4.812623319676623,18.86617517869751,26.67851903755878
0.18000000000000002,3.489461422340333,5.07848397960807,18.804805253430995,26.49379576909982
0.19000000000000003,3.6772049088947,5.342502868310954,18.74398275530858,26.310162486235853
0.20000000000000004,3.8643428806908835,5.604690816830803,18.683701235385588,26.12760546246629
0.21000000000000005,4.050880715685249,5.865058520008614,18.623954345099218,25.94611118268671
0.22000000000000006,4.236823728842116,6.123616538573996,18.564735834274725,25.76566633903989
0.23000000000000007,4.422177173107862,6.3803753011973,18.5060395491778,25.5862578268642
0.24000000000000007,4.6069462403657795,6.6353451065017115,18.447859430611892,25.40787274073679
0.25000000000000006,4.791136062372119,6.888536125036243,18.390189512059234,25.230498370608963
0.26000000000000006,4.974751711673762,7.1399584012105235,18.333023917864384,25.054122198031273
0.2700000000000001,5.1577982025079345,7.389621855192284,18.276356861459153,24.87873189246594
0.2800000000000001,5.3402804916843705,7.637536284768391,18.220182643627762,24.70431530768426
0.2900000000000001,5.5222034794503285,7.883711367170269,18.16449565081119,24.53086047824677
0.3000000000000001,5.703572010338838,8.12815666086453,18.109290353449637,24.358355616063903
0.3100000000000001,5.884390874000559,8.370881607309606,18.054561304362085,24.186789107035146
0.3200000000000001,6.06466480601962,8.611895532679151,18.000303137161985,24.016149507764492
0.3300000000000001,6.244398488713788,8.851207649552974,17.946510564708085,23.846425542350314
0.34000000000000014,6.423596551919316,9.08882705857624,17.893178377589503,23.677606099247644
0.35000000000000014,6.602263573760814,9.324762750087634,17.840301442644126,23.509680228201034
